WOT-BUILTIN-DATA,1,,,
france-AMX_105AM,france,4,artillery,normal
france-AMX_13F3AM,france,5,artillery,normal
france-AMX_AC_Mle1946,france,7,destroyer,normal
france-AMX_AC_Mle1948,france,8,destroyer,normal
france-AMX50_Foch,france,9,destroyer,normal
france-ARL_V39,france,6,destroyer,normal
france-Bat_Chatillon155,france,8,artillery,normal
france-Lorraine155_50,france,6,artillery,normal
france-Lorraine155_51,france,7,artillery,normal
france-Lorraine39_L_AM,france,3,artillery,normal
france-RenaultBS,france,2,artillery,normal
france-RenaultFT_AC,france,2,destroyer,normal
france-RenaultUE57,france,3,destroyer,normal
france-S_35CA,france,5,destroyer,normal
france-Somua_Sau_40,france,4,destroyer,normal
germany-DickerMax,germany,6,destroyer,premium
usa-T26_E4_SuperPershing,usa,8,medium,premium
