WOT-DATA,1,"Полные названия танков, оригинал – как в игре."
china-Ch01_Type59,Type 59
china-Ch02_Type62,Type 62
china-Ch03_WZ-111,WZ-111
france-_105_leFH18B2,105 leFH18B2
france-AMX_105AM,AMX 105AM
france-AMX_12t,AMX 12t
france-AMX_13_75,AMX 13 75
france-AMX_13_90,AMX 13 90
france-AMX_13F3AM,AMX 13 F3 AM
france-AMX_50_100,AMX 50 100
france-AMX_50_120,AMX 50 120
france-AMX_50Fosh_155,AMX-50 Foch (155)
france-AMX_AC_Mle1946,AMX AC Mle. 1946
france-AMX_AC_Mle1948,AMX AC Mle. 1948
france-AMX_M4_1945,AMX M4(1945)
france-AMX38,AMX 38
france-AMX40,AMX 40
france-AMX50_Foch,AMX 50 Foch
france-ARL_44,ARL 44
france-ARL_V39,ARL V39
france-B1,B1
france-Bat_Chatillon155,Bat Chatillon 155
france-Bat_Chatillon25t,Bat Chatillon 25 t
france-BDR_G1B,BDR G1B
france-D1,D1
france-D2,D2
france-ELC_AMX,ELC AMX
france-F10_AMX_50B,AMX 50B
france-FCM_36Pak40,FCM36 PaK40
france-FCM_50t,FCM 50 t
france-Hotchkiss_H35,Hotchkiss H35
france-Lorraine155_50,Lorraine155 50
france-Lorraine155_51,Lorraine155 51
france-Lorraine39_L_AM,Lorraine39 L AM
france-Lorraine40t,Lorraine 40 t
france-RenaultBS,RenaultBS
france-RenaultFT,RenaultFT
france-RenaultFT_AC,RenaultFT AC
france-RenaultUE57,Renault UE 57
france-S_35CA,S-35 CA
france-Somua_Sau_40,Somua SAu-40
germany-B-1bis_captured,PzKpfw B2 740 (f)
germany-Bison_I,Sturmpanzer I Bison
germany-DickerMax,Dicker Max
germany-E-100,E-100
germany-E-50,E-50
germany-E50_Ausf_M,E-50 Ausf. M
germany-E-75,E-75
germany-Ferdinand,Ferdinand
germany-G_E,GW Typ E
germany-G_Panther,GW Panther
germany-G_Tiger,GW Tiger
germany-G20_Marder_II,Marder II
germany-Grille,Grille
germany-H39_captured,PzKpfw 38H735 (f)
germany-Hetzer,Hetzer
germany-Hummel,Hummel
