WOT-DATA,1,"Короткие названия танков, оригинал – как в игре."
france-AMX_12t,AMX12t
france-AMX_13_75,AMX 13 75
france-AMX_13_90,AMX 13 90
france-AMX_50_100,AMX50 100
france-AMX_50_120,AMX50 120
france-AMX_M4_1945,AMX M4 45
france-AMX38,AMX 38
france-AMX40,AMX 40
france-ARL_44,ARL 44
france-B1,B1
france-Bat_Chatillon25t,BatChat.25t
france-BDR_G1B,BDR G1B
france-D1,D1
france-D2,D2
france-F10_AMX_50B,*AMX 50B*,не проверен
france-Hotchkiss_H35,H35
france-Lorraine40t,Lorraine40t
france-RenaultFT,FT-17
ussr-Tetrarch_LL,Tetrarch
